"id","page_type","priority","search_intent","slug","target_url","title","source_file"
"weduploader-alternative","alternatives","P1","commercial investigation","weduploader-alternativa","/hu/alternativak/weduploader-alternativa","WedUploader alternatíva esküvőre: OurFilm","content/alternatives/weduploader-alternativa.mdx"
"dropbox-wedding-photo-sharing","blog","P1","informational","dropbox-eskuvoi-fotomegosztas","/hu/blog/dropbox-eskuvoi-fotomegosztas","Dropbox esküvői fotómegosztás vendégekkel","content/blog/dropbox-eskuvoi-fotomegosztas.mdx"
"disposable-camera-alternatives","blog","P1","informational","eldobhato-fenykepezogep-alternativak-eskuvore","/hu/blog/eldobhato-fenykepezogep-alternativak-eskuvore","Eldobható fényképezőgép alternatívák esküvőre","content/blog/eldobhato-fenykepezogep-alternativak-eskuvore.mdx"
"digital-disposable-vs-qr","blog","P1","informational","eldobhato-fenykepezogep-vs-qr-kodos-album","/hu/blog/eldobhato-fenykepezogep-vs-qr-kodos-album","Hagyományos vagy digitális eldobható fényképezőgép esküvőre?","content/blog/eldobhato-fenykepezogep-vs-qr-kodos-album.mdx"
"live-photo-wall-wedding","blog","P1","informational","elo-eskuvoi-fotofal","/hu/blog/elo-eskuvoi-fotofal","Élő esküvői fotófal: hogyan vetítsd ki a vendégképeket?","content/blog/elo-eskuvoi-fotofal.mdx"
"original-quality-wedding-photos","blog","P1","informational","eredeti-minosegu-eskuvoi-fotok-megosztasa","/hu/blog/eredeti-minosegu-eskuvoi-fotok-megosztasa","Esküvői fotók megosztása eredeti minőségben","content/blog/eredeti-minosegu-eskuvoi-fotok-megosztasa.mdx"
"wedding-audio-guestbook","blog","P1","informational","eskuvoi-audio-vendegkonyv","/hu/blog/eskuvoi-audio-vendegkonyv","Esküvői audio vendégkönyv: hogyan működik?","content/blog/eskuvoi-audio-vendegkonyv.mdx"
"wedding-photo-sharing","blog","P1","informational","eskuvoi-foto-megosztas","/hu/blog/eskuvoi-foto-megosztas","Esküvői fotómegosztás: közös digitális film a vendégekkel","content/blog/eskuvoi-foto-megosztas.mdx"
"wedding-photo-scavenger-hunt","blog","P1","informational","eskuvoi-foto-vadaszat","/hu/blog/eskuvoi-foto-vadaszat","Esküvői fotóvadászat: szabályok és feladatötletek","content/blog/eskuvoi-foto-vadaszat.mdx"
"wedding-photo-guestbook","blog","P1","informational","eskuvoi-foto-vendegkonyv","/hu/blog/eskuvoi-foto-vendegkonyv","Esküvői fotó-vendégkönyv: digitális és nyomtatott ötletek","content/blog/eskuvoi-foto-vendegkonyv.mdx"
"wedding-photo-privacy","blog","P1","informational","eskuvoi-fotoalbum-adatvedelem","/hu/blog/eskuvoi-fotoalbum-adatvedelem","Esküvői fotóalbum és adatvédelem: mire figyelj?","content/blog/eskuvoi-fotoalbum-adatvedelem.mdx"
"wedding-photo-booth-alternatives","blog","P1","informational","eskuvoi-fotofulke-alternativak","/hu/blog/eskuvoi-fotofulke-alternativak","Esküvői fotófülke alternatívák: 9 ötlet","content/blog/eskuvoi-fotofulke-alternativak.mdx"
"wedding-photo-organization","blog","P1","informational","eskuvoi-fotok-rendszerezese-az-eskuvo-utan","/hu/blog/eskuvoi-fotok-rendszerezese-az-eskuvo-utan","Esküvői fotók rendszerezése az esküvő után","content/blog/eskuvoi-fotok-rendszerezese-az-eskuvo-utan.mdx"
"international-wedding-photo-sharing","blog","P1","informational","eskuvoi-fotomegosztas-kulfoldi-vendegekkel","/hu/blog/eskuvoi-fotomegosztas-kulfoldi-vendegekkel","Esküvői fotómegosztás külföldi vendégekkel","content/blog/eskuvoi-fotomegosztas-kulfoldi-vendegekkel.mdx"
"wedding-photo-sharing-checklist","blog","P1","informational","eskuvoi-fotomegosztasi-checklista","/hu/blog/eskuvoi-fotomegosztasi-checklista","Digitális esküvői vendégkamera checklist pároknak","content/blog/eskuvoi-fotomegosztasi-checklista.mdx"
"wedding-photo-corner-ideas","blog","P1","informational","eskuvoi-fotosarok-otletek","/hu/blog/eskuvoi-fotosarok-otletek","Esküvői fotósarok ötletek saját telefonos képekhez","content/blog/eskuvoi-fotosarok-otletek.mdx"
"wedding-hashtag-vs-qr","blog","P1","informational","eskuvoi-hashtag-vs-qr-kod","/hu/blog/eskuvoi-hashtag-vs-qr-kod","Esküvői hashtag vagy QR-kód a vendégfotókhoz?","content/blog/eskuvoi-hashtag-vs-qr-kod.mdx"
"wedding-photo-thank-you-message","blog","P1","informational","eskuvoi-koszono-uzenet-fotokert","/hu/blog/eskuvoi-koszono-uzenet-fotokert","Esküvői köszönőüzenet és fotóbekérő minták","content/blog/eskuvoi-koszono-uzenet-fotokert.mdx"
"wedding-qr-code-guide","blog","P1","informational","eskuvoi-qr-kod-fotokhoz","/hu/blog/eskuvoi-qr-kod-fotokhoz","Esküvői QR-kód fotókhoz: digitális vendégkamera lépésről lépésre","content/blog/eskuvoi-qr-kod-fotokhoz.mdx"
"wedding-qr-sign-ideas","blog","P1","informational","eskuvoi-qr-kod-tabla-otletek","/hu/blog/eskuvoi-qr-kod-tabla-otletek","Esküvői QR-kód tábla ötletek fotófeltöltéshez","content/blog/eskuvoi-qr-kod-tabla-otletek.mdx"
"guest-upload-participation","blog","P1","informational","eskuvoi-vendegek-foto-feltoltes","/hu/blog/eskuvoi-vendegek-foto-feltoltes","Hogyan vedd rá a vendégeket, hogy esküvői fotókat készítsenek?","content/blog/eskuvoi-vendegek-foto-feltoltes.mdx"
"wedding-guest-photo-ideas","blog","P1","informational","eskuvoi-vendegfoto-otletek","/hu/blog/eskuvoi-vendegfoto-otletek","Esküvői vendégfotó ötletek: mit érdemes megörökíteni?","content/blog/eskuvoi-vendegfoto-otletek.mdx"
"filmic-wedding-guest-photos","blog","P1","informational","filmes-eskuvoi-vendegfotok","/hu/blog/filmes-eskuvoi-vendegfotok","Filmes esküvői vendégfotók valódi film nélkül","content/blog/filmes-eskuvoi-vendegfotok.mdx"
"google-drive-wedding-upload","blog","P1","informational","google-drive-eskuvoi-foto-feltoltes","/hu/blog/google-drive-eskuvoi-foto-feltoltes","Google Drive esküvői fotófeltöltés: így működik jól","content/blog/google-drive-eskuvoi-foto-feltoltes.mdx"
"photo-sharing-comparison","blog","P1","informational","google-drive-messenger-vagy-qr-kodos-album","/hu/blog/google-drive-messenger-vagy-qr-kodos-album","Google Drive, Messenger vagy QR-kódos esküvői album?","content/blog/google-drive-messenger-vagy-qr-kodos-album.mdx"
"google-photos-wedding-guests","blog","P1","informational","google-fotok-eskuvoi-vendegeknek","/hu/blog/google-fotok-eskuvoi-vendegeknek","Google Fotók esküvői vendégképekhez: jó megoldás?","content/blog/google-fotok-eskuvoi-vendegeknek.mdx"
"wedding-photo-backup","blog","P1","informational","hogyan-mentsd-el-az-eskuvoi-fotokat","/hu/blog/hogyan-mentsd-el-az-eskuvoi-fotokat","Hogyan mentsd el biztonságosan az esküvői fotókat?","content/blog/hogyan-mentsd-el-az-eskuvoi-fotokat.mdx"
"icloud-shared-album-wedding","blog","P1","informational","icloud-kozos-album-eskuvore","/hu/blog/icloud-kozos-album-eskuvore","iCloud közös album esküvőre: előnyök és korlátok","content/blog/icloud-kozos-album-eskuvore.mdx"
"shared-album-vs-photo-app","blog","P1","informational","kozos-album-vs-eskuvoi-foto-app","/hu/blog/kozos-album-vs-eskuvoi-foto-app","Közös album vagy esküvői fotó app?","content/blog/kozos-album-vs-eskuvoi-foto-app.mdx"
"best-apps-collect-wedding-photos","blog","P1","commercial investigation","legjobb-alkalmazasok-eskuvoi-fotok-osszegyujtesehez","/hu/blog/legjobb-alkalmazasok-eskuvoi-fotok-osszegyujtesehez","A legjobb appok esküvői vendégfotók összegyűjtéséhez","content/blog/legjobb-alkalmazasok-eskuvoi-fotok-osszegyujtesehez.mdx"
"best-wedding-photo-sharing-apps","blog","P1","commercial investigation","legjobb-eskuvoi-fotomegoszto-alkalmazasok","/hu/blog/legjobb-eskuvoi-fotomegoszto-alkalmazasok","A 8 legjobb esküvői fotómegosztó alkalmazás 2026-ban","content/blog/legjobb-eskuvoi-fotomegoszto-alkalmazasok.mdx"
"best-wedding-qr-photo-albums","blog","P1","commercial investigation","legjobb-eskuvoi-qr-kodos-fotoalbumok","/hu/blog/legjobb-eskuvoi-qr-kodos-fotoalbumok","A legjobb esküvői QR-kódos fotóalbumok és vendégkamerák","content/blog/legjobb-eskuvoi-qr-kodos-fotoalbumok.mdx"
"wedding-photo-request-timing","blog","P1","informational","mikor-kerd-el-vendegek-eskuvoi-fotoit","/hu/blog/mikor-kerd-el-vendegek-eskuvoi-fotoit","Mikor kérd a vendégeket esküvői fotózásra?","content/blog/mikor-kerd-el-vendegek-eskuvoi-fotoit.mdx"
"qr-code-sign-text","blog","P1","informational","mit-irj-eskuvoi-qr-kod-melle","/hu/blog/mit-irj-eskuvoi-qr-kod-melle","Mit írj az esküvői QR-kód mellé? 15 filmes szövegminta","content/blog/mit-irj-eskuvoi-qr-kod-melle.mdx"
"qr-code-placement","blog","P1","informational","qr-kod-az-asztalokon","/hu/blog/qr-kod-az-asztalokon","Hova tedd az esküvői vendégkamera QR-kódját?","content/blog/qr-kod-az-asztalokon.mdx"
"whatsapp-wedding-photo-sharing","blog","P1","informational","whatsapp-eskuvoi-fotomegosztas","/hu/blog/whatsapp-eskuvoi-fotomegosztas","WhatsApp esküvői fotómegosztás: mikor működik?","content/blog/whatsapp-eskuvoi-fotomegosztas.mdx"
"wedding-wifi-photo-upload","blog","P1","informational","wifi-eskuvoi-fotofeltolteshez","/hu/blog/wifi-eskuvoi-fotofeltolteshez","Kell Wi-Fi az esküvői fotófeltöltéshez?","content/blog/wifi-eskuvoi-fotofeltolteshez.mdx"
"guestpix-vs-kululu","compare","P1","commercial investigation","guestpix-vs-kululu","/hu/osszehasonlitas/guestpix-vs-kululu","GuestPix vs Kululu: galéria vagy élő fotófal?","content/compare/guestpix-vs-kululu.mdx"
"guestpix-vs-wedibox","compare","P1","commercial investigation","guestpix-vs-wedibox","/hu/osszehasonlitas/guestpix-vs-wedibox","GuestPix vs Wedibox: melyik jobb esküvői fotómegosztó?","content/compare/guestpix-vs-wedibox.mdx"
"once-vs-pov-vs-lense","compare","P1","commercial investigation","once-vs-pov-vs-lense","/hu/osszehasonlitas/once-vs-pov-vs-lense","Once vs POV vs Lense: melyik disposable camera app jobb?","content/compare/once-vs-pov-vs-lense.mdx"
"pov-vs-guestpix","compare","P1","commercial investigation","pov-vs-guestpix","/hu/osszehasonlitas/pov-vs-guestpix","POV vs GuestPix: eldobható kamera vagy közös galéria?","content/compare/pov-vs-guestpix.mdx"
"wedibox-vs-weduploader","compare","P1","commercial investigation","wedibox-vs-weduploader","/hu/osszehasonlitas/wedibox-vs-weduploader","Wedibox vs WedUploader: all-in-one vagy Google Drive?","content/compare/wedibox-vs-weduploader.mdx"
"guest-photo-upload","pages","P1","transactional","eskuvoi-foto-feltoltes","/hu/eskuvoi-foto-feltoltes","Esküvői fotófeltöltés helyett közös vendégkamera","content/pages/eskuvoi-foto-feltoltes.mdx"
"collect-wedding-photos","pages","P1","transactional","eskuvoi-fotok-osszegyujtese-vendegektol","/hu/eskuvoi-fotok-osszegyujtese-vendegektol","Esküvői fotók összegyűjtése a vendégektől","content/pages/eskuvoi-fotok-osszegyujtese-vendegektol.mdx"
"shared-wedding-photo-album","pages","P1","transactional","kozos-eskuvoi-fotoalbum","/hu/kozos-eskuvoi-fotoalbum","Közös esküvői film és fotóalbum vendégekkel","content/pages/kozos-eskuvoi-fotoalbum.mdx"
"ourfilm-vs-guestpix","vs","P1","commercial investigation","ourfilm-vs-guestpix","/hu/osszehasonlitas/ourfilm-vs-guestpix","OurFilm vs GuestPix: melyik digitális vendégkamera jobb?","content/vs/ourfilm-vs-guestpix.mdx"
"ourfilm-vs-kululu","vs","P1","commercial investigation","ourfilm-vs-kululu","/hu/osszehasonlitas/ourfilm-vs-kululu","OurFilm vs Kululu: melyik digitális vendégkamera jobb?","content/vs/ourfilm-vs-kululu.mdx"
"ourfilm-vs-wedibox","vs","P1","commercial investigation","ourfilm-vs-wedibox","/hu/osszehasonlitas/ourfilm-vs-wedibox","OurFilm vs Wedibox: melyik digitális vendégkamera jobb?","content/vs/ourfilm-vs-wedibox.mdx"
"ourfilm-vs-weduploader","vs","P1","commercial investigation","ourfilm-vs-weduploader","/hu/osszehasonlitas/ourfilm-vs-weduploader","OurFilm vs WedUploader: melyik digitális vendégkamera jobb?","content/vs/ourfilm-vs-weduploader.mdx"
"wedding-memory-ideas","blog","P2","adjacent informational","eskuvoi-emlek-otletek","/hu/blog/eskuvoi-emlek-otletek","Esküvői emlék ötletek, amelyek évek múlva is számítanak","content/blog/eskuvoi-emlek-otletek.mdx"
"wedding-entertainment-ideas","blog","P2","adjacent informational","eskuvoi-szorakoztato-programok","/hu/blog/eskuvoi-szorakoztato-programok","Esküvői szórakoztató programok: működő ötletek","content/blog/eskuvoi-szorakoztato-programok.mdx"
"wedding-guest-activities","blog","P2","adjacent informational","eskuvoi-vendegprogram-otletek","/hu/blog/eskuvoi-vendegprogram-otletek","Esküvői vendégprogramok, amelyek tényleg bevonják a társaságot","content/blog/eskuvoi-vendegprogram-otletek.mdx"
"unique-wedding-ideas","blog","P2","adjacent informational","kulonleges-eskuvoi-otletek","/hu/blog/kulonleges-eskuvoi-otletek","Különleges esküvői ötletek személyesebb ünnephez","content/blog/kulonleges-eskuvoi-otletek.mdx"
